song,album,year,bpm,duration,vocal,harmony,database_url,official_youtube,harmony_youtube,instruments,guitar1_youtube,guitar2_youtube,bass_youtube,instrumental_youtube,bass_tab,spotify,lyrics,lyrics_chord
Do You Want To Know A Secret?,Please Please Me,1963,125.0,119405,George,Paul・John,https://beatlesdata.info/1/11_doyouwanttoknowasecret.html,uRQ7ecvU56k,,J-160E・425・ヘフナー,_C5dXssIhHA,,1XueYJwmNYI,UwP-lyYpzU4,https://www.songsterr.com/a/wsa/beatles-do-you-want-to-know-a-secret-bass-tab-s22761,7Aobt67JnaF7qN8jCCKvHq,"You'll never know how much I really love you<br>You'll never know how much I really care<br><br>Listen<br>Do you want to know a secret<br>Do you promise not to tell, whoa oh, oh<br><br>Closer<br>Let me whisper in your ear<br>Say the words you long to hear<br>I'm in love with you<br><br>Listen<br>Do you want to know a secret<br>Do you promise not to tell, whoa oh, oh<br><br>Closer<br>Let me whisper in your ear<br>Say the words you long to hear<br>I'm in love with you<br><br>I've known the secret for a week or two<br>Nobody knows, just we two<br><br>Listen<br>Do you want to know a secret<br>Do you promise not to tell, whoa oh, oh<br><br>Closer<br>Let me whisper in your ear<br>Say the words you long to hear<br>I'm in love with you",
A Taste Of Honey,Please Please Me,1963,100.0,125204,Paul,John,https://beatlesdata.info/1/12_atasteofhoney.html,MkQ1eOcl5ug,,J-160E・Duo Jet・ヘフナー,mGdvXzPe_tI,,Swc6iOIiiVk,VKxwwq2R-zo,https://www.songsterr.com/a/wsa/beatles-a-taste-of-honey-bass-tab-s98,7fh53ta3vAOGJMQ4i5tCHe,"A taste of honey<br>Tasting much sweeter than wine<br><br>I dream of your first kiss<br>And then I feel upon my lips again<br><br>A taste of honey<br>Tasting much sweeter than wine<br><br>I will return, yes I will return<br>I'll come back for the honey and you<br><br>Yours was the kiss that awoke my heart<br>There lingers still, though we're far apart<br><br>That taste of honey<br>Tasting much sweeter than wine<br><br>Oh I will return, yes I will return<br>I'll come back (He'll come back)<br>for the honey (For the honey)<br>and you",
There's A Place,Please Please Me,1963,124.0,112927,John,Paul・George,https://beatlesdata.info/1/13_theresaplace.html,vTsbYbN8VVI,FQSPJAcqkW8,J-160E・425・ヘフナー・ハーモニカ,4m2pu7lKtrw,,v2giOFR4chY,soLzT6Sr8pY,https://www.songsterr.com/a/wsa/beatles-theres-a-place-bass-tab-s61449,4dessGxnKXmTbHPhVgqODq,"There is a place<br>Where I can go<br>When I feel low<br>When I feel blue<br>And it's my mind<br>And there's no time when I'm alone<br><br>I think of you<br>And things you do<br>Go 'round my head<br>The things you said<br>Like ""I love only you""<br><br>In my mind there's no sorrow<br>Don't you know that it's so<br>There'll be no sad tomorrow<br>Don't you know that it's so<br><br>There is a place<br>Where I can go<br>When I feel low<br>When I feel blue<br>And it's my mind<br>And there's no time when I'm alone<br><br>There's a place...",
Twist And Shout,Please Please Me,1963,125.0,153338,John,Paul・George,https://beatlesdata.info/1/14_twistandshout.html,EDtBq6FnlCY,WUIoX3GizdY,325・Duo Jet・ヘフナー,uWQbhE1ZRss,RpJ75SnmFBU,hhEasVo7STE,WD2CZ6K5gQY,https://www.songsterr.com/a/wsa/beatles-twist-and-shout-bass-tab-s26412,5ZBeML7Lf3FMEVviTyvi8l,"Well, shake it up, baby, now (Shake it up, baby)<br>Twist and shout (Twist and shout)<br>C'mon c'mon, c'mon, c'mon, baby, now (Come on baby)<br>Come on and work it on out (Work it on out)<br><br>Well, work it on out, honey (Work it on out)<br>You know you look so good (Look so good)<br>You know you got me goin' now (Got me goin')<br>Just like I knew you would (Like I knew you would)<br><br>Well, shake it up, baby, now (Shake it up, baby)<br>Twist and shout (Twist and shout)<br>C'mon, c'mon, c'mon, c'mon, baby, now (Come on, baby)<br>Come on and work it on out (Work it on out)<br><br>Well, you twist, you little girl (Twist, little girl)<br>You know you twist so fine (Twist so fine)<br>Come on and twist a little closer now (Twist a little closer)<br>And let me know that you're mine (Let me know you're mine)<br><br>Well, shake it up, baby, now (Shake it up, baby)<br>Twist and shout (Twist and shout)<br>C'mon, c'mon, c'mon, c'mon, baby, now (Come on, baby)<br>Come on and work it on out (Work it on out)<br><br>Well, you twist, you little girl (Twist, little girl)<br>You know you twist so fine (Twist so fine)<br>Come on and twist a little closer now (Twist a little closer)<br>And let me know that you're mine (Let me know you're mine)<br><br>Well, shake it, shake it, shake it, baby, now (Shake it up baby)<br>Well, shake it, shake it, shake it, baby, now (Shake it up baby)<br>Well, shake it, shake it, shake it, baby, now (Shake it up baby)",
It Won't Be Long,With The Beatles,1963,133.0,133668,John,Paul・George,https://beatlesdata.info/2/01_itwontbelong.html,UVKU6SevefY,jX6dV_oaYME,325・6122・ヘフナー,clHVCHOQaxI,,iaSbS0oV7Rw,BOR60gaXxRk,https://www.songsterr.com/a/wsa/beatles-it-wont-be-long-bass-tab-s26443,4ekUX4pWizXXksJe0JfS9U,"It won't be long yeh, yeh, yeh<br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, till I belong to you<br><br>Every night when everybody has fun<br>Here am I sitting all on my own<br><br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, till I belong to you<br><br>Since you left me (You), I'm so alone (left me here on my own)<br>Now you're coming, you're coming on home (Now you're coming on home)<br>I'll be good like I know I should (Yes, you're coming)<br>You're coming home, you're coming home<br><br>Every night the tears come down from my eyes<br>Every day I've done nothing but cry<br><br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, till I belong to you<br><br>Since you left me, I'm so alone<br>Now you're coming, you're coming on home<br>I'll be good like I know I should<br>You're coming home, you're coming home<br><br>So every day we'll be happy I know<br>Now I know that you won't leave me no more<br><br>It won't be long yeh, yeh, yeh<br>It won't be long yeh, yeh<br>It won't be long yeh, till I belong to you, woo",
All I've Got To Do,With The Beatles,1963,119.0,124473,John,Paul・George,https://beatlesdata.info/2/02_allivegottodo.html,anMW41uvb_s,,J-160E・Duo Jet・ヘフナー,,,Rf_uxfRNMVc,_42QzvfCt7w,https://www.songsterr.com/a/wsa/beatles-all-ive-got-to-do-bass-tab-s22719,5tztLBvTlNC15Np2tnQ5Ll,"Whenever I want you around, yeah<br>All I gotta do is call you on the phone<br>And you'll come running home<br>yeah that's all I gotta do<br><br>And when I wanna kiss you, yeah<br>All I gotta do is whisper in your ear<br>The words you long to hear<br>And I'll be kissin' you<br><br>And the same goes for me, whenever you want me at all<br>I'll be here, yes I will, whenever you call<br>You just gotta call on me, yeah<br>You just gotta call on me<br><br>And when I wanna kiss you, yeah<br>All I gotta do is call you on the phone<br>And you'll come running home<br>Yeah, that's all I gotta do<br><br>And the same goes for me, whenever you want me at all<br>I'll be here, yes I will, whenever you call<br>You just gotta call on me, yeah<br>You just gotta call on me. Oh, you just gotta call on me<br><br>Mmmmmm mm mm",
All My Loving,With The Beatles,1963,150.0,129515,Paul,John・George,https://beatlesdata.info/2/03_allmyloving.html,Wz6Q19LU8rU,YuncmAqvr9Y,325・6122・ヘフナー,GaVQGgf0nfo,,9FAX1cSEC_s,BIO4CTKn7pk,https://www.songsterr.com/a/wsa/beatles-all-my-loving-bass-tab-s2820,4joiWvli4qJVEW6qZV2i2J,"Close your eyes and I'll kiss you<br>Tomorrow I'll miss you<br>Remember I'll always be true<br>And then while I'm away<br>I'll write home every day<br>And I'll send all my loving to you<br><br>I'll pretend that I'm kissing<br>The lips I am missing<br>And hope that my dreams will come true<br>And then while I'm away<br>I'll write home every day<br>And I'll send all my loving to you<br><br>All my loving I will send to you<br>All my loving, darling I'll be true<br><br>Close your eyes and I'll kiss you<br>Tomorrow I'll miss you<br>Remember I'll always be true<br>And then while I'm away<br>I'll write home every day<br>And I'll send all my loving to you<br><br>All my loving I will send to you<br>All my loving, darling I'll be true<br>All my loving, all my loving ooh<br>All my loving I will send to you","<br><span>Close your</span><span>F#m</span><span>eyes and I'll</span><span>B7</span><span>kiss you</span><br><span>E</span><span>Tomorrow I'll</span><span>C#m</span><span>miss you</span><br><span>A</span><span>Remember I'll</span><span>F#m</span><span>always be</span><span>D</span><span>true</span><span>B7</span><br><span>And then</span><span>F#m</span><span>while I'm</span><span>B7</span><span>away</span><br><span>I'll write</span><span>E</span><span>home every</span><span>C#m</span><span>day</span><br><span>And I'll</span><span>A</span><span>send all my</span><span>B</span><span>loving to</span><span>E</span><span>you</span><br><br><span>I'll pretend</span><span>F#m</span><span>that I'm</span><span>B7</span><span>kissing</span><br><span>E</span><span>The lips I am</span><span>C#m</span><span>missing</span><br><span>And</span><span>A</span><span>hope that my</span><span>F#m</span><span>dreams will come</span><span>D</span><span>true</span><span>B7</span><br><span>And then</span><span>F#m</span><span>while I'm</span><span>B7</span><span>away</span><br><span>I'll write</span><span>E</span><span>home every</span><span>C#m</span><span>day</span><br><span>And I'll</span><span>A</span><span>send all my</span><span>B</span><span>loving to</span><span>E</span><span>you</span><br><br><span>All my loving I will send to you</span><br><span>All my loving, darling I'll be true</span><br><br><span>Close your</span><span>F#m</span><span>eyes and I'll</span><span>B7</span><span>kiss you</span><br><span>E</span><span>Tomorrow I'll</span><span>C#m</span><span>miss you</span><br><span>A</span><span>Remember I'll</span><span>F#m</span><span>always be</span><span>D</span><span>true</span><span>B7</span><br><span>And then</span><span>F#m</span><span>while I'm</span><span>B7</span><span>away</span><br><span>I'll write</span><span>E</span><span>home every</span><span>C#m</span><span>day</span><br><span>And I'll</span><span>A</span><span>send all my</span><span>B</span><span>loving to</span><span>E</span><span>you</span><br><br><span>All my loving I will send to you</span><br><span>All my loving, darling I'll be true</span><br><span>All my loving, all my loving ooh</span><br><span>All my loving I will send to you</span>"
Don't Bother Me,With The Beatles,1963,86.0,149289,George,,https://beatlesdata.info/2/04_dontbotherme.html,k03IQbaTcxc,,325・Duo Jet・ヘフナー・タンバリン,Zx1nLb0C65U,,4bZB9re3vbQ,8ksWV3S0Bho,https://www.songsterr.com/a/wsa/beatles-dont-bother-me-bass-tab-s22762,7y1hMqXNa0dKQLZH7CKbUG,Since she's been gone<br>I want no one<br>To talk to me<br>It's not the same<br>But I'm to blame<br>It's plain to see<br><br>So go away and leave me alone<br>Don't bother me<br><br>I can't believe<br>That she would leave<br>Me on my own<br>It's just not right<br>Where every night<br>I'm all alone<br><br>I've got no time for you right now<br>Don't bother me<br><br>I know I'll never be the same<br>If I don't get her back again<br>Because I know she'll always be<br>The only girl for me<br><br>But till she's here<br>Please don't come near<br>just stay away<br>I'll let you know<br>When she's come home<br>Until that day<br><br>Don't come around leave me alone<br>Don't bother me<br><br>I've got no time for you right now<br>Don't bother me<br><br>I know I'll never be the same<br>If I don't get her back again<br>Because I know she'll always be<br>The only girl for me<br><br>But till she's here<br>Please don't come near<br>Just stay away<br>I'll let you know<br>When she's come home<br>Until that day<br><br>Don't come around leave me alone<br>Don't bother me<br>Don't bother me<br>Don't bother me,
Little Child,With The Beatles,1963,152.0,107937,John・Paul,,https://beatlesdata.info/2/05_littlechild.html,DVMfLIoejTc,c4IsYt9CqMk,Duo Jet・ヘフナー・ハーモニカ・ピアノ,,,mgGLydKtMKY,,https://www.songsterr.com/a/wsa/beatles-little-child-bass-tab-s26447,0KogQrSowDnZoU8GSpaxkj,"Little child, little child<br>Little child, won't you dance with me?<br>I'm so sad and lonely<br>Baby take a chance with me<br><br>Little child, little child<br>Little child, won't you dance with me?<br>I'm so sad and lonely<br>Baby take a chance with me<br><br>If you want someone<br>To make you feel so fine<br>Then we'll have some fun<br>When you're mine, all mine<br>So come, come on, come on<br><br>Little child, little child<br>Little child, won't you dance with me?<br>I'm so sad and lonely<br>Baby take a chance with me<br><br>When you're by my side<br>You're the only one<br>Don't you run and hide<br>Just come on, come on<br>So come on, come on, come on<br><br>Little child, little child<br>Little child, won't you dance with me?<br>I'm so sad and lonely<br>Baby take a chance with me<br>Baby take a chance with me<br>Baby take a chance with me",
Till There Was You,With The Beatles,1963,122.0,136672,Paul,,https://beatlesdata.info/2/06_tilltherewasyou.html,SHAqAO7w8M8,,J-160E・クラギ・ヘフナー,FVjUc3jxU24,,wia9VgmlDLg,AoyNOOWmu5c,https://www.songsterr.com/a/wsa/beatles-till-there-was-you-bass-tab-s26419,0ESIjVxnDnCDaTPo6sStHm,"There were bells on a hill<br>But I never heard them ringing<br>No, I never heard them at all<br>Till there was you<br><br>There were birds in the sky<br>But I never saw them winging<br>No, I never saw them at all<br>Till there was you<br><br>Then there was music and wonderful roses<br>They tell me in sweet fragrant meadows<br>Of dawn and dew<br><br>There was love all around<br>But I never heard it singing<br>No, I never heard it at all<br>Till there was you<br><br>Then there was music and wonderful roses<br>They tell me in sweet fragrant meadows<br>Of dawn and dew<br><br>There was love all around<br>But I never heard it singing<br>No, I never heard it at all<br>Till there was you<br>Till there was you",
Please Mister Postman,With The Beatles,1963,120.0,156656,John,Paul・George,https://beatlesdata.info/2/07_pleasemisterpostman.html,v2Kk5IG2b8E,zni6ap7hDGI,325・6122・ヘフナー,bC5wdz_CytQ,,JUbhuTcU6yM,Qhb1ar6NpZI,https://www.songsterr.com/a/wsa/beatles-please-mister-postman-bass-tab-s426720,6wfK1R6FoLpmUA9lk5ll4T,"Wait, oh yes wait a minute mister postman<br>Wait, wait mister postman<br><br>Mister postman look and see<br>Is there a letter in your bag for me<br>I been waiting a long long time<br>Since I heard from that girl of mine<br><br>There must be some word today<br>From my girlfriend so far away<br>Please Mister postman look and see<br>If there's a letter, a letter for me<br>I been standing here waiting Mister postman<br>So patiently<br>For just a card or just a letter<br>Saying she's returning home to me<br><br>Mister postman look and see<br>Is there a letter in your bag for me<br>I been waiting a long long time<br>Since I heard from that girl of mine<br><br>So many days you passed me by<br>See the tear standing in my eye<br>You didn't stop to make me feel better<br>By leaving me a card or a letter<br><br>So Mister postman look and see<br>Is there a letter in your bag for me<br>I been waiting a long long time<br>Since I heard from that girlfriend of mine<br><br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>You gotta check it and see, one more time for me<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>Deliver the letter, the sooner the better<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute<br>You gotta wait a minute, wait a minute",
Roll Over Beethoven,With The Beatles,1963,161.0,167575,George,,https://beatlesdata.info/2/08_rolloverbeethoven.html,FgJevybEEkM,,325・6122・ヘフナー,rbUzkt30iTk,,TqqEtEje0-g,ba45kcxTHx4,https://www.songsterr.com/a/wsa/beatles-roll-over-beethoven-bass-tab-s61442,3idqWaBn3mRdsIodCU6uBi,Well gonna write a little letter<br>Gonna mail it to my local D.J.<br>It's a rocking little record<br>I want my jockey to play<br>Roll over Beethoven<br>Gotta hear it again today<br><br>You know my temperature's rising<br>And the jukebox blows a fuse<br>My heart beating rhythm<br>While my soul keeps singing the blues<br>Roll over Beethoven<br>And tell Tchaikovsky the news<br><br>I got a rocking pneumonia<br>I need a shot of rhythm and blues<br>I think I caught it off the writer<br>Sittin' down by the rhythm reviews<br>Roll over Beethoven<br>We're rockin' in two by two<br><br>Well if you feel it and like it<br>Well get your lover and reel and rock it<br>Roll it over and move on up<br>Just triffle further and reel and rock it<br>Roll it over<br>Roll over Beethoven<br>A rocking in two by two - Ooo<br><br>Well early in the morning<br>I'm a giving you the warning<br>Don't you step on my blue suede shoes<br>Hey diddle diddle<br>I'll play my fiddle<br>Ain't got nothing to lose<br>Roll over Beethoven<br>And tell Tchaikovsky the news<br><br>You know she wiggles like a glow worm<br>Dance like a spinning top<br>She's got a crazy partner<br>Oughta see them reel an rock<br>Long as she's got a dime<br>The music will never stop<br>Roll over Beethoven<br>Roll over Beethoven<br>Roll over Beethoven<br>Roll over Beethoven<br>Roll over Beethoven<br>Dig to these rhythm and blues,
