song,album,track
Blackbird,The Beatles,1-11
Piggies,The Beatles,1-12
Rocky Raccoon,The Beatles,1-13
Don't Pass Me By,The Beatles,1-14
Why Don't We Do It In The Road,The Beatles,1-15
I Will,The Beatles,1-16
Julia,The Beatles,1-17
Birthday,The Beatles,2-1
Yer Blues,The Beatles,2-2
Mother Nature's Son,The Beatles,2-3
Everybody's Got Something To Hide Except Me And My Monkey,The Beatles,2-4
Sexy Sadie,The Beatles,2-5
Helter Skelter,The Beatles,2-6
"Long, Long, Long",The Beatles,2-7
Revolution 1,The Beatles,2-8
Honey Pie,The Beatles,2-9
Savoy Truffle,The Beatles,2-10
Cry Baby Cry,The Beatles,2-11
Revolution 9,The Beatles,2-12
Good Night,The Beatles,2-13
Yellow Submarine,Yellow Submarine,1
Only A Northern Song,Yellow Submarine,2
All Together Now,Yellow Submarine,3
Hey Bulldog,Yellow Submarine,4
It's All Too Much,Yellow Submarine,5
All You Need Is Love,Yellow Submarine,6
Come Together,Abbey Road,1
Something,Abbey Road,2
Maxwell's Silver Hammer,Abbey Road,3
Oh! Darling,Abbey Road,4
Octopus's Garden,Abbey Road,5
I Want You (She's So Heavy),Abbey Road,6
Here Comes The Sun,Abbey Road,7
Because,Abbey Road,8
You Never Give Me Your Money,Abbey Road,9
Sun King,Abbey Road,10
Mean Mr. Mustard,Abbey Road,11
Polythene Pam,Abbey Road,12
She Came In Through The Bathroom Window,Abbey Road,13
Golden Slumbers,Abbey Road,14
Carry That Weight,Abbey Road,15
The End,Abbey Road,16
Her Majesty,Abbey Road,17
Two Of Us,Let It Be,1
Dig A Pony,Let It Be,2
Across The Universe,Let It Be,3
I Me Mine,Let It Be,4
Dig It,Let It Be,5
Let It Be,Let It Be & Past Masters,6
Maggie Mae,Let It Be,7
I've Got A Feeling,Let It Be,8
One After 909,Let It Be,9
The Long And Winding Road,Let It Be,10
For You Blue,Let It Be,11
Get Back,Let It Be,12
Love Me Do,Past Masters,1-1
From Me To You,Past Masters,1-2
Thank You Girl,Past Masters,1-3
She Loves You,Past Masters,1-4
I'll Get You,Past Masters,1-5
I Want To Hold Your Hand,Past Masters,1-6
This Boy,Past Masters,1-7
"Komm, Gib Mir Deine Hand",Past Masters,1-8
Sie Liebt Dich,Past Masters,1-9
Long Tall Sally,Past Masters,1-10
I Call Your Name,Past Masters,1-11
Slow Down,Past Masters,1-12
Matchbox,Past Masters,1-13
I Feel Fine,Past Masters,1-14
She's A Woman,Past Masters,1-15
Bad Boy,Past Masters,1-16
Yes It Is,Past Masters,1-17
I'm Down,Past Masters,1-18
Day Tripper,Past Masters,2-1
We Can Work It Out,Past Masters,2-2
Paperback Writer,Past Masters,2-3
Rain,Past Masters,2-4
Lady Madonna,Past Masters,2-5
The Inner Light,Past Masters,2-6
Hey Jude,Past Masters,2-7
Revolution,Past Masters,2-8
Get Back,Past Masters,2-9
Don't Let Me Down,Past Masters,2-10
The Ballad Of John And Yoko,Past Masters,2-11
Old Brown Shoe,Past Masters,2-12
Across The Universe,Past Masters,2-13
Let It Be,Past Masters,2-14
You Know My Name (Look Up The Number),Past Masters,2-15
Real Love,Anthology 2,1
Love Me Do,Beatles 1,1
From Me To You,Beatles 1,2
She Loves You,Beatles 1,3
I Want To Hold Your Hand,Beatles 1,4
Can’t Buy Me Love,Beatles 1,5
A Hard Day’s Night,Beatles 1,6
I Feel Fine,Beatles 1,7
Eight Days A Week,Beatles 1,8
Ticket To Ride,Beatles 1,9
Help!,Beatles 1,10
Yesterday,Beatles 1,11
Day Tripper,Beatles 1,12
We Can Work It Out,Beatles 1,13
Paperback Writer,Beatles 1,14
Yellow Submarine,Beatles 1,15
Eleanor Rigby,Beatles 1,16
Penny Lane,Beatles 1,17
All You Need Is Love,Beatles 1,18
Hello Goodbye,Beatles 1,19
Lady Madonna,Beatles 1,20
Hey Jude,Beatles 1,21
Get Back,Beatles 1,22
The Ballad Of John And Yoko,Beatles 1,23
Something,Beatles 1,24
Come Together,Beatles 1,25
Let It Be,Beatles 1,26
The Long And Winding Road,Beatles 1,27
Love Me Do,The Beatles / 1962-1966,1-1
Please Please Me,The Beatles / 1962-1966,1-2
From MeTo You,The Beatles / 1962-1966,1-3
She Loves You,The Beatles / 1962-1966,1-4
I Want To Hold Your Hand,The Beatles / 1962-1966,1-5
All My Loving,The Beatles / 1962-1966,1-6
Can’t Buy Me Love,The Beatles / 1962-1966,1-7
A Hard Day’s Night,The Beatles / 1962-1966,1-8
And I Love Her,The Beatles / 1962-1966,1-9
Eight Days A Week,The Beatles / 1962-1966,1-10
I Feel Fine,The Beatles / 1962-1966,1-11
Ticket To Ride,The Beatles / 1962-1966,1-12
Yesterday,The Beatles / 1962-1966,1-13
Help!,The Beatles / 1962-1966,2-1
You’ve Got To Hide Your Love Away,The Beatles / 1962-1966,2-2
We Can Work It Out,The Beatles / 1962-1966,2-3
Day Tripper,The Beatles / 1962-1966,2-4
Drive My Car,The Beatles / 1962-1966,2-5
Norwegian Wood (This Bird Has Flown),The Beatles / 1962-1966,2-6
Nowhere Man,The Beatles / 1962-1966,2-7
Michelle,The Beatles / 1962-1966,2-8
In My Life,The Beatles / 1962-1966,2-9
Girl,The Beatles / 1962-1966,2-10
Paperback Writer,The Beatles / 1962-1966,2-11
Eleanor Rigby,The Beatles / 1962-1966,2-12
Yellow Submarine,The Beatles / 1962-1966,2-13
Strawberry Fields Forever,The Beatles / 1967-1970,1-1
Penny Lane,The Beatles / 1967-1970,1-2
Sgt. Pepper's Lonely Hearts Club Band,The Beatles / 1967-1970,1-3
With A Little Help From My Friends,The Beatles / 1967-1970,1-4
Lucy In The Sky With Diamonds,The Beatles / 1967-1970,1-5
A Day In The Life,The Beatles / 1967-1970,1-6
All You Need Is Love,The Beatles / 1967-1970,1-7
I Am The Walrus,The Beatles / 1967-1970,1-8
"Hello, Goodbye",The Beatles / 1967-1970,1-9
The Fool On The Hill,The Beatles / 1967-1970,1-10
Magical Mystery Tour,The Beatles / 1967-1970,1-11
Lady Madonna,The Beatles / 1967-1970,1-12
Hey Jude,The Beatles / 1967-1970,1-13
Revolution,The Beatles / 1967-1970,1-14
Back In The U.S.S.R.,The Beatles / 1967-1970,2-1
While My Guitar Gently Weeps,The Beatles / 1967-1970,2-2
"Ob-La-Di, Ob-La-Da",The Beatles / 1967-1970,2-3
Get Back,The Beatles / 1967-1970,2-4
Don't Let Me Down,The Beatles / 1967-1970,2-5
The Ballad Of John And Yoko,The Beatles / 1967-1970,2-6
Old Brown Shoe,The Beatles / 1967-1970,2-7
Here Comes The Sun,The Beatles / 1967-1970,2-8
Come Together,The Beatles / 1967-1970,2-9
Something,The Beatles / 1967-1970,2-10
Octopus's Garden,The Beatles / 1967-1970,2-11
Let It Be,The Beatles / 1967-1970,2-12
Across The Universe,The Beatles / 1967-1970,2-13
The Long And Winding Road,The Beatles / 1967-1970,2-14
Free As A Bird,Anthology 1,1-1
We Were Fours Guys...That's All,Anthology 1,1-2
That'll Be The Day,Anthology 1,1-3
In Spite Of All The Danger,Anthology 1,1-4
Sometimes I'd Borrow...Those Still Exist,Anthology 1,1-5
Hallelujah I Love Her So,Anthology 1,1-6
You'll Be Mine,Anthology 1,1-7
Cayenne,Anthology 1,1-8
First Of All...It Didn't Do A Thing Here,Anthology 1,1-9
My Bonnie,Anthology 1,1-10
Ain't She Sweet,Anthology 1,1-11
Cry For A Shadow,Anthology 1,1-12
Brian Was A Beautiful Guy...He Presented Us Well,Anthology 1,1-13
I Secured Them...A Beatle Drink Even Then,Anthology 1,1-14
Searchin',Anthology 1,1-15
Three Cool Cats,Anthology 1,1-16
The Sheik Of Araby,Anthology 1,1-17
Like Dreamers Do,Anthology 1,1-18
Hello Little Girl,Anthology 1,1-19
"Well, The Recording Test...By My Artists",Anthology 1,1-20
Besame Mucho,Anthology 1,1-21
Love Me Do,Anthology 1,1-22
How Do You Do It?,Anthology 1,1-23
Please Please Me,Anthology 1,1-24
One After 909 (Sequence),Anthology 1,1-25
One After 909 (Complete),Anthology 1,1-26
Lend Me Your Comb,Anthology 1,1-27
I'll Get You,Anthology 1,1-28
We Were Performers...In Britain,Anthology 1,1-29
I Saw Her Standing There,Anthology 1,1-30
From Me To You,Anthology 1,1-31
Money (That's What I Want),Anthology 1,1-32
You Really Got A Hold On Me,Anthology 1,1-33
Roll Over Beethoven,Anthology 1,1-34
She Loves You,Anthology 1,2-1
Till There Was You,Anthology 1,2-2
Twist And Shout,Anthology 1,2-3
This Boy,Anthology 1,2-4
I Want To Hold Your Hand,Anthology 1,2-5
"Boys, What Was I Thinking...",Anthology 1,2-6
Moonlight Bay,Anthology 1,2-7
Can't Buy Me Love,Anthology 1,2-8
All My Loving,Anthology 1,2-9
You Can't Do That,Anthology 1,2-10
And I Love Her,Anthology 1,2-11
A Hard Day's Night,Anthology 1,2-12
I Wanna Be Your Man,Anthology 1,2-13
Long Tall Sally,Anthology 1,2-14
Boys,Anthology 1,2-15
Shout,Anthology 1,2-16
I'll Be Back (Take 2),Anthology 1,2-17
I'll Be Back (Take 3),Anthology 1,2-18
You Know What To Do,Anthology 1,2-19
No Reply (Demo),Anthology 1,2-20
Mr Moonlight,Anthology 1,2-21
Leave My Kitten Alone,Anthology 1,2-22
No Reply,Anthology 1,2-23
Eight Days A Week (Sequence),Anthology 1,2-24
Eight Days A Week (Complete),Anthology 1,2-25
Kansas City | Hey-Hey-Hey-Hey,Anthology 1,2-26
A Beginning,Anthology 3,1-1
Happiness Is A Warm Gun,Anthology 3,1-2
Helter Skelter,Anthology 3,1-3
Mean Mr Mustard,Anthology 3,1-4
Polythene Pam,Anthology 3,1-5
Glass Onion,Anthology 3,1-6
Junk,Anthology 3,1-7
Piggies,Anthology 3,1-8
Honey Pie,Anthology 3,1-9
Don't Pass Me By,Anthology 3,1-10
"Ob-La-Di, Ob-La-Da",Anthology 3,1-11
Good Night,Anthology 3,1-12
Cry Baby Cry,Anthology 3,1-13
Blackbird,Anthology 3,1-14
Sexy Sadie,Anthology 3,1-15
While My Guitar Gently Weeps,Anthology 3,1-16
Hey Jude,Anthology 3,1-17
Not Guilty,Anthology 3,1-18
Mother Nature's Son,Anthology 3,1-19
Glass Onion,Anthology 3,1-20
Rocky Raccoon,Anthology 3,1-21
What's The New Mary Jane,Anthology 3,1-22
Step Inside Love | Los Paranoias,Anthology 3,1-23
I'm So Tired,Anthology 3,1-24
I Will,Anthology 3,1-25
Why Don't We Do It In The Road,Anthology 3,1-26
Julia,Anthology 3,1-27
I've Got A Feeling,Anthology 3,2-1
She Came In Through The Bathroom Window,Anthology 3,2-2
Dig A Pony,Anthology 3,2-3
Two Of Us,Anthology 3,2-4
For You Blue,Anthology 3,2-5
Teddy Boy,Anthology 3,2-6
Rip It Up (Medley),Anthology 3,2-7
The Long And Winding Road,Anthology 3,2-8
Oh! Darling,Anthology 3,2-9
All Things Must Pass,Anthology 3,2-10
"Mailman, Bring Me No More Blues",Anthology 3,2-11
Get Back,Anthology 3,2-12
Old Brown Shoe,Anthology 3,2-13
Octopus's Garden,Anthology 3,2-14
Maxwell's Silver Hammer,Anthology 3,2-15
Something,Anthology 3,2-16
Come Together,Anthology 3,2-17
Come And Get It,Anthology 3,2-18
Ain't She Sweet,Anthology 3,2-19
Because,Anthology 3,2-20
Let It Be,Anthology 3,2-21
I Me Mine,Anthology 3,2-22
The End,Anthology 3,2-23
